genename,log2FoldChange,adjusted_pvalue
CTDSPL,1.171485776,3.10889E-06
GPHN,1.17353375,2.99275E-08
RAPGEFL1,1.178387882,5.24026E-06
RRM1,1.178705206,9.60757E-11
ZNF525,1.180384946,1.33176E-07
SRM,1.184160765,0.000125462
FANCA,1.185661648,4.51817E-08
FDPS,1.18660206,1.1485E-19
PEA15,1.187218876,4.12853E-12
HS3ST3A1,1.187966903,1.55397E-05
HMGA1,1.188704735,2.58489E-08
GPNMB,1.18989046,0.000224693
PRDM6,1.190055802,0.000241749
SULT2B1,1.190132463,6.04425E-07
CYP2J2,1.191305094,0.00028777
GSG2,1.191318787,3.51638E-05
TOB2,1.1915673,4.07473E-14
CLN6,1.19273839,2.01663E-12
MID1,1.194943791,0.00012896
SEPT5-GP1BB,1.195593479,1.10133E-06
TMCC3,1.196362393,0.004986031
FSCN1,1.19785527,0.007242208
NUPR1,1.201628682,0.000116102
UBE2V1,1.201812207,1.36237E-09
TMEM63C,1.202440086,0.003748541
AREG,1.204990335,7.03471E-08
PABPC4,1.2057389,1.47654E-10
HIST4H4,1.209967204,2.91682E-09
PKIB,1.210360117,5.08749E-24
ZNF726,1.211082338,0.00277519
SASH1,1.212376619,2.95523E-10
CALM3,1.213206916,3.17672E-13
PPIF,1.214116068,2.24839E-27
BLM,1.214952915,7.30834E-09
CLCN4,1.215105985,0.001610044
ZNF703,1.217032643,2.22214E-10
PDSS1,1.218042988,0.001440343
PAK1,1.219083477,0.000203875
ID1,1.220529067,1.33051E-07
CCDC15,1.220889863,0.004876151
MCCC2,1.221829329,1.28915E-25
CDH11,1.224499385,0.000788991
CDK14,1.225185461,0.000481989
LDHA,1.227743821,5.17603E-37
LSS,1.227803123,7.15628E-24
HOTS,1.228165886,0.007934185
GPT2,1.228700212,0.000000128
ZBTB47,1.229207195,0.006271209
PRSS16,1.23206502,0.005033503
TRPC6,1.232716891,6.99727E-05
C1orf53,1.234384954,0.000853257
WLS,1.235690867,0.000178701
KIF14,1.236145392,1.32118E-13
